時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.314,-3.789673,-0.124301274,-4.378967,-0.179537647,0.9798433
0.316,-3.796387,-0.124521494,-4.395447,-0.180213327,0.9627454
0.318,-3.794556,-0.124461437,-4.42688,-0.18150208,1.0157882
0.32,-3.794556,-0.124461437,-4.437561,-0.181940001,1.068831
0.322,-3.789368,-0.12429127,-4.454651,-0.182640691,1.028806
0.324,-3.792114,-0.124381339,-4.460449,-0.182878409,0.98528375
0.326,-3.77594,-0.123850832,-4.472656,-0.183378896,0.9417615
0.328,-3.769836,-0.123650621,-4.475403,-0.183491523,0.93437825
0.33,-3.756714,-0.123220219,-4.476318,-0.183529038,0.926995
0.332,-3.739624,-0.122659667,-4.483032,-0.183804312,0.8687065
0.334,-3.734741,-0.122499505,-4.487,-0.183967,0.92291485
0.336,-3.727112,-0.122249274,-4.493408,-0.184229728,0.9771232
0.338,-3.700562,-0.121378434,-4.503479,-0.184642639,0.9421501
0.34,-3.699951,-0.121358393,-4.512634,-0.185017994,0.983341
0.342,-3.656311,-0.119927001,-4.540405,-0.186156605,0.963717
0.344,-3.670959,-0.120407455,-4.526978,-0.185606098,0.944093
0.346,-3.592529,-0.117834951,-4.533386,-0.185868826,0.9207776
0.348,-3.572083,-0.117164322,-4.535828,-0.185968948,0.8780326
0.35,-3.518372,-0.115402602,-4.540405,-0.186156605,0.9141715
0.352,-3.477478,-0.114061278,-4.541626,-0.186206666,0.9472017
0.354,-3.4375,-0.11275,-4.547119,-0.186431879,0.9732373
0.356,-3.394165,-0.111328612,-4.552002,-0.186632082,0.9265093
0.358,-3.347168,-0.10978711,-4.553833,-0.186707153,0.8797813
0.36,-3.309937,-0.108565934,-4.553528,-0.186694648,0.8850273
0.362,-3.265381,-0.107104497,-4.552612,-0.186657092,0.8737581
0.364,-3.216248,-0.105492934,-4.544678,-0.186331798,0.8663749
0.366,-3.177795,-0.104231676,-4.530945,-0.185768745,0.8622947
