,t,θ,dθ,ddθ,w1
174,0.34800000000000003,0.5840094294970848,3.7655024021478987,6.124519639519352,-0.1622712402745507
175,0.35000000000000003,0.5915525348814948,3.7775286285807654,5.901459512960113,-0.16200491207820242
176,0.352,0.599119245618585,3.789107269460535,5.676943289571485,-0.16168194669210859
177,0.354,0.6067086636619274,3.80023546793083,5.451026365372081,-0.1613018959325395
178,0.356,0.6143198853624061,3.81091047827519,5.223764481982473,-0.16086433385042756
179,0.358,0.6219520016911789,3.821129666594545,4.995213712871809,-0.16036885706708867
180,0.36,0.6296040984639666,3.8308905114570937,4.765430449522481,-0.15981508510039172
181,0.362,0.6372752565666147,3.8401906045204166,4.534471387516398,-0.15920266068119426
182,0.364,0.6449645521818707,3.849027651125714,4.302393512546192,-0.15853125005986715
183,0.366,0.652671057017322,3.8573994708639674,4.069254086354868,-0.15780054330273408
184,0.368,0.6603938385344388,3.8653039981139248,3.835110632607292,-0.15701025457825823
185,0.37,0.6681319601786633,3.872739282551766,3.600020922697112,-0.15616012243281197
186,0.372,0.6758844816104914,3.879703489632313,3.3640429614925194,-0.1552499100558698
187,0.374,0.6836504589374861,3.8861949010416756,3.1272349730244398,-0.15427940553447098
188,0.376,0.6914289449471701,3.8922119151212224,2.8896553861205954,-0.15324842209680173
189,0.378,0.6992189893407361,3.8977530472627637,2.65136281998906,-0.15215679834475287
190,0.38,0.7070196389675181,3.902816930274857,2.4124160697548795,-0.1510043984753132
191,0.382,0.7148299380601674,3.907402314720141,2.17287409195325,-0.14979111249066437
192,0.384,0.7226489284704742,3.9115080692236175,1.9327959899828444,-0.1485168563968484
193,0.386,0.7304756499057762,3.915133180751798,1.6922409995229577,-0.1471815723908832
194,0.388,0.7383091401658962,3.9182767548626574,1.4512684739179773,-0.1457852290362086
195,0.39,0.7461484353805508,3.9209380159263194,1.2099378695328609,-0.1443278214263487
196,0.392,0.7539925702471709,3.923116307316442,0.9683087310831259,-0.14280937133668364
197,0.394,0.7618405782690758,3.9248110915722156,0.726440676943111,-0.14122992736422804
198,0.396,0.7696914919939417,3.926021950530987,0.48439338443601865,-0.13958956505531986
199,0.398,0.7775443432525059,3.926748585431424,0.2422265751094574,-0.13788838702112827
200,0.4,0.7853981633974483,3.9269908169872414,1.888559287288236e-15,-0.1361265230408955
201,0.402,0.7932519835423903,3.926748585431424,-0.24222657510944678,-0.13430413015283266
202,0.404,0.8011048348009548,3.926021950530987,-0.48439338443601476,-0.13242139273259604
203,0.406,0.8089557485258205,3.9248110915722156,-0.7264406769431003,-0.13047852255927508
204,0.40800000000000003,0.8168037565477255,3.923116307316442,-0.9683087310831222,-0.1284757588688305
205,0.41000000000000003,0.8246478914143455,3.9209380159263194,-1.20993786953285,-0.12641336839492542
206,0.41200000000000003,0.8324871866290002,3.9182767548626574,-1.4512684739179735,-0.12429164539709919
207,0.41400000000000003,0.8403206768891202,3.915133180751798,-1.6922409995229468,-0.12211091167623926
208,0.41600000000000004,0.8481473983244223,3.9115080692236175,-1.9327959899828404,-0.1198715165773124
209,0.418,0.855966388734729,3.9074023147201418,-2.1728740919532408,-0.11757383697932225
210,0.42,0.8637766878273784,3.902816930274857,-2.412416069754876,-0.11521827727246658
211,0.422,0.8715773374541602,3.8977530472627637,-2.6513628199890498,-0.11280526932247362
212,0.424,0.8793673818477264,3.8922119151212224,-2.889655386120592,-0.11033527242210214
213,0.426,0.8871458678574105,3.8861949010416756,-3.127234973024436,-0.10780877322979712
214,0.428,0.8949118451844053,3.879703489632313,-3.3640429614925225,-0.10522628569549777
215,0.43,0.9026643666162333,3.872739282551766,-3.6000209226971083,-0.10258835097360137
216,0.432,0.910402488260458,3.8653039981139243,-3.8351106326072952,-0.09989553732309228
217,0.434,0.9181252697775746,3.8573994708639674,-4.069254086354865,-0.09714843999485114
218,0.436,0.925831774613026,3.849027651125714,-4.302393512546196,-0.09434768110616598
219,0.438,0.9335210702282818,3.8401906045204175,-4.534471387516396,-0.09149390950247238
220,0.44,0.9411922283309301,3.8308905114570924,-4.765430449522484,-0.08858780060635586
221,0.442,0.9488443251037175,3.821129666594546,-4.995213712871807,-0.08563005625385617
222,0.444,0.9564764414324906,3.8109104782751895,-5.223764481982475,-0.0826214045181185
223,0.446,0.9640876631329691,3.80023546793083,-5.451026365372077,-0.0795625995204431
224,0.448,0.9716770811763118,3.789107269460535,-5.676943289571488,-0.07645442122879016
225,0.45,0.9792437919134017,3.7775286285807654,-5.90145951296011,-0.0732976752438033
226,0.452,0.9867868972978115,3.7655024021479,-6.124519639519344,-0.07009319257242048
227,0.454,0.994305505107381,3.753031557453359,-6.3460686325006925,-0.0668418293891472
228,0.456,1.001798729164359,3.7401191714914668,-6.56605182800523,-0.06354446678507238
229,0.458,1.009265689554057,3.726768430200247,-6.784414948471154,-0.060202010504713466
230,0.46,1.016705512841952,3.7129826276753413,-7.001104116065911,-0.0568153906707829
231,0.462,1.024117332289196,3.6987651653572415,-7.21606586597981,-0.053385561496973453
232,0.464,1.0315002880664688,3.684119551192036,-7.429247159617585,-0.049913500988866065
